# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Oct  4 13:28:02 2025
#
# User preference: *
#
# COLUMN disposition:    Archive Disposition
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
#
disposition,pl_orbper,pl_rade,pl_insol,pl_eqt,st_teff,st_rad,rastr,ra,decstr,dec
CANDIDATE,24.39986900000,18.43000000,,1144.00,6404.00,1.650000,08h37m56.11s,129.4837732,+18d47m24.76s,18.7902102
CANDIDATE,2.52000000000,,,,5707.44,1.086660,08h45m14.64s,131.3109799,+18d49m09.46s,18.8192956
FALSE POSITIVE,0.52631600000,,,,4397.00,,09h09m50.53s,137.4605365,+18d49m47.18s,18.8297729
FALSE POSITIVE,1.10897200000,,,,,,09h08m22.71s,137.0946427,+18d52m45.93s,18.8794251
CANDIDATE,9.35739000000,2.69000000,,,,0.595000,08h33m04.58s,128.2690718,+18d55m30.36s,18.9251012
CANDIDATE,1.81071800000,,,,5680.00,1.178000,08h41m41.83s,130.4242801,+18d56m28.60s,18.9412786
FALSE POSITIVE,0.58201700000,,,,5385.55,1.064180,08h57m09.75s,134.2906075,+18d56m43.54s,18.9454287
CANDIDATE,1.81042000000,,,,3050.00,0.313000,08h39m30.67s,129.8777982,+18d56m53.16s,18.9481008
CANDIDATE,1.81083400000,,,,3230.00,0.888000,08h40m02.19s,130.0091206,+18d56m56.78s,18.9491053
CANDIDATE,24.62372030000,2.33000000,,585.00,5650.00,0.910000,08h55m13.95s,133.8081054,+18d56m59.01s,18.9497263
FALSE POSITIVE,1.81070800000,,,,6805.00,2.325130,08h39m09.27s,129.7886317,+18d57m06.76s,18.9518772
FALSE POSITIVE,9.48499400000,,,,,,08h46m35.55s,131.6481110,+19d01m06.90s,19.0185830
FALSE POSITIVE,9.51091100000,,,,3941.00,0.777317,08h45m36.58s,131.4024049,+19d01m20.80s,19.0224447
FALSE POSITIVE,9.51679300000,,,,,,08h43m29.50s,130.8728991,+19d01m55.86s,19.0321833
FALSE POSITIVE,9.48658000000,,,,6119.69,1.767720,08h44m30.34s,131.1264326,+19d01m58.85s,19.0330138
FALSE POSITIVE,9.48792900000,,,,6214.00,2.650190,08h43m50.99s,130.9624675,+19d02m02.61s,19.0340576
FALSE POSITIVE,9.49259000000,,,,4645.01,7.256260,08h43m13.72s,130.8071744,+19d02m12.83s,19.0368972
CANDIDATE,8.84100000000,2.43000000,,,,0.584000,08h23m51.39s,125.9641071,+19d06m03.25s,19.1009014
CANDIDATE,45.38331501000,,,,4793.26,0.815611,08h51m49.94s,132.9580770,+19d06m26.90s,19.1074714
FALSE POSITIVE,0.85846200000,,,,4467.00,0.840819,08h53m55.82s,133.4825629,+19d09m32.61s,19.1590573
CANDIDATE,3.47701708869,11.85710209,253.0737,1017.26,5225.91,0.841270,08h36m42.81s,129.1783954,+19d10m25.68s,19.1738012
CANDIDATE,3.47701312000,,,,5225.91,0.841270,08h36m42.81s,129.1783954,+19d10m25.68s,19.1738012
CANDIDATE,3.47665060000,12.60000000,,,,0.879000,08h36m42.81s,129.1783954,+19d10m25.68s,19.1738012
CANDIDATE,3.47700000000,,,,5225.91,0.841270,08h36m42.81s,129.1783954,+19d10m25.68s,19.1738012
CANDIDATE,3.47664200000,11.50000000,,,,0.840000,08h36m42.81s,129.1783954,+19d10m25.68s,19.1738012
CANDIDATE,3.47663300000,12.70000000,,,,0.865000,08h36m42.81s,129.1783954,+19d10m25.68s,19.1738012
FALSE POSITIVE,0.52045100000,,,,,,08h38m45.87s,129.6911414,+19d14m16.07s,19.2377968
CANDIDATE,,4.31000000,,,,1.294000,08h33m36.45s,128.4018840,+19d19m12.67s,19.3201861
CANDIDATE,39.54380000000,3.28000000,,,,1.294000,08h33m36.45s,128.4018840,+19d19m12.67s,19.3201861
CANDIDATE,,3.26000000,,,,1.294000,08h33m36.45s,128.4018840,+19d19m12.67s,19.3201861
CANDIDATE,26.86620000000,2.95000000,,,,1.294000,08h33m36.45s,128.4018840,+19d19m12.67s,19.3201861
CANDIDATE,5.78370000000,1.38000000,,,,1.310000,08h41m47.66s,130.4485798,+19d20m50.91s,19.3474745
CANDIDATE,5.78185300000,1.44284081,,,5739.00,1.383982,08h41m47.66s,130.4485798,+19d20m50.91s,19.3474745
CANDIDATE,5.78000000000,,,,5758.27,1.707870,08h41m47.66s,130.4485798,+19d20m50.91s,19.3474745
FALSE POSITIVE,1.32429200000,,,,7114.00,2.711660,08h50m51.21s,132.7133566,+19d21m26.17s,19.3572704
CANDIDATE,19.72907100000,2.23900000,,,4735.00,0.712000,08h18m08.72s,124.5363137,+19d21m57.92s,19.3660902
CONFIRMED,19.49100000000,,,,6128.00,1.363600,09h06m17.81s,136.5741931,+19d24m07.40s,19.4020565
CONFIRMED,19.49179500000,5.84689735,,,6046.00,1.410092,09h06m17.81s,136.5741931,+19d24m07.40s,19.4020565
CONFIRMED,19.49214730000,5.50689000,31.9085,662.00,6128.00,1.360000,09h06m17.81s,136.5741931,+19d24m07.40s,19.4020565
CONFIRMED,19.49213200000,6.00000000,,,,1.480000,09h06m17.81s,136.5741931,+19d24m07.40s,19.4020565
CONFIRMED,19.49221000000,5.76000000,,817.00,6069.00,1.390000,09h06m17.81s,136.5741931,+19d24m07.40s,19.4020565
CONFIRMED,19.49196500000,6.80000000,,,6320.00,1.485000,09h06m17.81s,136.5741931,+19d24m07.40s,19.4020565
CONFIRMED,19.49183000000,5.96000000,,,,1.403000,09h06m17.81s,136.5741931,+19d24m07.40s,19.4020565
CONFIRMED,19.49214980000,,,,6025.00,1.380000,09h06m17.81s,136.5741931,+19d24m07.40s,19.4020565
CONFIRMED,19.49100000000,5.50000000,101.0000,809.00,6019.00,1.387000,09h06m17.81s,136.5741931,+19d24m07.40s,19.4020565
CONFIRMED,19.49213000000,6.12000000,,886.35,6025.00,1.380000,09h06m17.81s,136.5741931,+19d24m07.40s,19.4020565
CONFIRMED,19.50735025000,,,,6128.00,1.363600,09h06m17.81s,136.5741931,+19d24m07.40s,19.4020565
FALSE POSITIVE,1.98280900000,,,,3330.00,0.291000,08h42m39.40s,130.6641653,+19d24m51.70s,19.4143598
FALSE POSITIVE,1.98280412480,10.89107018,20.6170,543.47,3213.00,0.293047,08h42m39.40s,130.6641653,+19d24m51.70s,19.4143598
FALSE POSITIVE,1.98280000000,,,,3213.00,0.293047,08h42m39.40s,130.6641653,+19d24m51.70s,19.4143598
CANDIDATE,29.72467400000,1.43900000,,,5339.00,0.854000,08h26m03.17s,126.5132158,+19d31m15.50s,19.5209728
FALSE POSITIVE,0.61644400000,,,,4937.26,0.750931,08h50m51.57s,132.7148652,+19d33m44.10s,19.5622510
FALSE POSITIVE,7.21807100000,,,,6727.06,1.673460,08h40m26.10s,130.1087556,+19d41m11.12s,19.6864229
FALSE POSITIVE,7.21962600000,,,,8075.00,2.559770,08h40m20.71s,130.0862865,+19d41m12.04s,19.6866788
CANDIDATE,7.22053700000,,,,5420.00,0.932000,08h38m48.84s,129.7034817,+19d41m28.40s,19.6912228
FALSE POSITIVE,7.22094300000,,,,3092.00,0.292863,08h38m39.25s,129.6635506,+19d41m39.83s,19.6943963
CANDIDATE,10.55532000000,2.64000000,,,,0.623000,09h04m37.69s,136.1570235,+19d42m51.89s,19.7144139
CANDIDATE,10.55500000000,,,,4067.08,0.722281,09h04m37.69s,136.1570235,+19d42m51.89s,19.7144139
CANDIDATE,10.55632000000,2.86000000,,,4067.08,0.722281,09h04m37.69s,136.1570235,+19d42m51.89s,19.7144139
FALSE POSITIVE,1.48350000000,1.41000000,,,3200.00,0.317944,09h04m21.06s,136.0877307,+19d46m48.49s,19.7801355
FALSE POSITIVE,6.01620000000,,,,3249.00,0.400314,08h50m49.80s,132.7075113,+19d48m36.35s,19.8100975
CANDIDATE,1.09284500000,,,,5620.00,0.951000,08h41m10.27s,130.2927863,+19d49m06.80s,19.8185555
CANDIDATE,1.09267300000,,,,5140.00,0.783000,08h40m05.78s,130.0240979,+19d49m10.20s,19.8194993
FALSE POSITIVE,1.09291700000,,,,7226.47,1.782230,08h39m54.61s,129.9775310,+19d49m18.86s,19.8219052
CANDIDATE,0.90776500000,77.00000000,,,,1.210000,08h15m35.47s,123.8977875,+19d54m53.36s,19.9148217
CANDIDATE,17.04066667000,,,,6117.37,,09h09m31.90s,137.3828987,+20d02m54.01s,20.0483370
CANDIDATE,17.03520300000,53.00000000,,,,1.510000,09h09m31.90s,137.3828987,+20d02m54.01s,20.0483370
CANDIDATE,63.84825000000,2.86000000,,,3973.09,0.731598,09h04m21.19s,136.0883061,+20d03m55.43s,20.0653970
CANDIDATE,63.84320000000,2.78000000,,,,0.594000,09h04m21.19s,136.0883061,+20d03m55.43s,20.0653970
CANDIDATE,8.98664800000,143.03688080,,,5265.00,4.260594,08h24m49.18s,126.2049365,+20d09m10.67s,20.1529633
CANDIDATE,8.98600000000,,,,5523.32,11.863400,08h24m49.18s,126.2049365,+20d09m10.67s,20.1529633
CANDIDATE,0.27925800000,8.41000000,,,4071.00,0.620000,08h44m49.78s,131.2074245,+20d10m39.41s,20.1776135
CANDIDATE,32.57950000000,10.44000000,,,,0.633000,08h14m37.51s,123.6562874,+20d10m44.80s,20.1791100
CANDIDATE,32.57600000000,,,,4217.00,0.694468,08h14m37.51s,123.6562874,+20d10m44.80s,20.1791100
CANDIDATE,1.74454600000,,,,6530.00,2.316000,09h07m36.60s,136.9025177,+20d12m54.40s,20.2151100
FALSE POSITIVE,11.61580000000,,,,3189.00,0.339085,08h39m41.99s,129.9249754,+20d17m44.91s,20.2958096
CANDIDATE,74.80000000000,4.34000000,,86.00,5044.00,0.700000,08h37m07.77s,129.2823699,+20d23m57.30s,20.3992512
CANDIDATE,6.83292000000,1.30000000,,,,0.180000,08h27m20.61s,126.8358869,+20d24m19.98s,20.4055501
FALSE POSITIVE,0.77845000000,,,,3859.00,0.779314,08h31m29.83s,127.8743087,+20d24m37.32s,20.4103659
FALSE POSITIVE,0.77800000000,,,,3859.00,0.779314,08h31m29.83s,127.8743087,+20d24m37.32s,20.4103659
FALSE POSITIVE,0.92386100000,,,,6235.06,1.906310,09h04m52.71s,136.2196232,+20d24m54.45s,20.4151247
FALSE POSITIVE,2.85145100000,,,,7137.00,2.223210,09h02m20.46s,135.5852450,+20d25m49.13s,20.4303139
FALSE POSITIVE,3.24412600000,,,,4274.11,0.987047,08h53m06.95s,133.2789525,+20d27m31.99s,20.4588868
FALSE POSITIVE,0.82143600000,,,,6046.46,1.504300,08h29m07.89s,127.2828904,+20d34m12.88s,20.5702432
FALSE POSITIVE,3.88885300000,,,,3693.00,0.696024,09h10m02.97s,137.5123668,+20d35m37.67s,20.5937973
FALSE POSITIVE,3.69687100000,,,,6401.57,1.478550,08h31m44.47s,127.9352953,+20d39m49.32s,20.6637007
CANDIDATE,3.69716100000,,,,3120.00,0.245000,08h31m10.60s,127.7941490,+20d39m50.96s,20.6641564
FALSE POSITIVE,1.76950500000,,,,5988.00,1.167940,09h07m05.84s,136.7743166,+20d41m25.12s,20.6903120
CANDIDATE,23.70234200000,,,,6280.00,1.869000,09h07m13.07s,136.8044416,+20d48m48.89s,20.8135797
CANDIDATE,2.71474300000,1.19800000,,,3634.00,0.415000,08h32m32.40s,128.1350093,+20d50m40.83s,20.8446748
CANDIDATE,5.16988700000,9.10000000,,,6830.00,1.450000,08h58m45.67s,134.6902795,+20d52m08.32s,20.8689789
CANDIDATE,5.16990260000,9.23587000,562.1840,1356.00,6283.40,1.480000,08h58m45.67s,134.6902795,+20d52m08.32s,20.8689789
FALSE POSITIVE,3.40819000000,,,,5416.13,0.849526,08h32m42.85s,128.1785549,+20d52m39.86s,20.8777376
FALSE POSITIVE,2.22982000000,,,,7391.00,2.260720,08h31m25.98s,127.8582411,+20d54m59.88s,20.9166323
CANDIDATE,4.44554360000,15.81810000,905.9970,1528.00,6355.80,2.110000,09h04m40.78s,136.1699005,+20d55m53.21s,20.9314478
CANDIDATE,4.44555900000,15.90000000,,,6520.00,2.237000,09h04m40.78s,136.1699005,+20d55m53.21s,20.9314478
CANDIDATE,23.91771600000,,,,5050.00,0.828000,08h34m52.79s,128.7199403,+20d56m49.05s,20.9469570
CANDIDATE,2.78370500000,2.40000000,,,5890.00,0.939000,08h58m31.90s,134.6329328,+20d57m04.64s,20.9512894
FALSE POSITIVE,1.83076700000,,,,6141.42,0.987120,09h09m16.16s,137.3173150,+21d00m09.23s,21.0025648
CANDIDATE,9.37526600000,3.54500000,,,4571.00,0.747000,08h35m42.68s,128.9278377,+21d03m49.48s,21.0637447
FALSE POSITIVE,0.61767400000,,,,5271.68,1.100950,09h09m56.48s,137.4853283,+21d04m17.41s,21.0715037
CANDIDATE,0.98676500000,,,,6080.00,1.400000,08h33m07.87s,128.2828064,+21d08m23.78s,21.1399388
FALSE POSITIVE,0.57930900000,,,,4888.00,0.999114,08h59m33.47s,134.8894772,+21d10m10.16s,21.1694877
FALSE POSITIVE,1.20433800000,,,,5633.43,0.907171,08h54m27.85s,133.6160492,+21d17m14.25s,21.2872925
FALSE POSITIVE,0.60422800000,,,,,,09h11m43.59s,137.9316123,+21d17m27.58s,21.2909949
CANDIDATE,0.82182448000,,,,5990.46,2.649870,08h39m21.25s,129.8385500,+21d23m26.71s,21.3907526
CANDIDATE,0.82200000000,,,,5990.46,2.649870,08h39m21.25s,129.8385500,+21d23m26.71s,21.3907526
CANDIDATE,0.82182410000,6.10000000,,,,2.660000,08h39m21.25s,129.8385500,+21d23m26.71s,21.3907526
FALSE POSITIVE,0.81673400000,,,,6318.08,1.795190,08h31m06.51s,127.7771249,+21d23m52.82s,21.3980052
CANDIDATE,14.22024600000,,,,6130.00,1.461000,09h05m01.05s,136.2543849,+21d25m42.74s,21.4285385
FALSE POSITIVE,0.54767400000,,,,4926.69,0.786265,08h53m42.22s,133.4259049,+21d27m01.86s,21.4505161
FALSE POSITIVE,1.74301300000,,,,7935.60,2.952990,08h53m48.93s,133.4538787,+21d29m28.29s,21.4911903
FALSE POSITIVE,0.55082000000,,,,,,08h34m33.90s,128.6412641,+21d33m11.10s,21.5530829
FALSE POSITIVE,1.15345600000,,,,5378.01,2.968650,09h04m12.68s,136.0528301,+21d33m46.47s,21.5629080
FALSE POSITIVE,3.79747300000,,,,5024.68,0.785698,08h53m09.22s,133.2884088,+21d41m25.42s,21.6903950
FALSE POSITIVE,0.51874800000,,,,6490.00,1.311920,08h51m04.76s,132.7698139,+21d42m04.83s,21.7013424
FALSE POSITIVE,0.51875400000,,,,5514.41,0.878754,08h51m03.77s,132.7657132,+21d42m17.03s,21.7047312
FALSE POSITIVE,0.98972000000,,,,5424.29,1.139220,09h03m51.49s,135.9645577,+21d44m43.81s,21.7455039
FALSE POSITIVE,4.84556100000,,,,5723.10,1.154260,08h30m25.05s,127.6043814,+21d44m49.04s,21.7469553
FALSE POSITIVE,0.64314200000,,,,5412.54,1.054520,09h08m45.09s,137.1878696,+21d45m54.86s,21.7652377
CANDIDATE,1.46647300000,,,,4570.00,0.981000,08h27m00.92s,126.7538167,+21d57m25.03s,21.9569520
CANDIDATE,7.11200000000,,,,5595.68,0.909317,08h32m17.56s,128.0731788,+22d00m20.85s,22.0057920
CANDIDATE,7.11237030000,1.85858000,117.6650,917.00,5595.70,0.910000,08h32m17.56s,128.0731788,+22d00m20.85s,22.0057920
CANDIDATE,7.11213400000,2.70000000,,,5800.00,1.042000,08h32m17.56s,128.0731788,+22d00m20.85s,22.0057920
CANDIDATE,7.11227300000,3.20000000,,,,0.960000,08h32m17.56s,128.0731788,+22d00m20.85s,22.0057920
CANDIDATE,7.11047482000,,,,5595.68,0.909317,08h32m17.56s,128.0731788,+22d00m20.85s,22.0057920
FALSE POSITIVE,1.99135700000,,,,6118.76,1.260820,09h09m07.06s,137.2794242,+22d12m10.84s,22.2030123
FALSE POSITIVE,16.70043510000,,,,5018.76,1.099790,08h53m14.61s,133.3108723,+22d13m07.95s,22.2188747
FALSE POSITIVE,16.70965900000,,,,5018.76,1.099790,08h53m14.61s,133.3108723,+22d13m07.95s,22.2188747
CANDIDATE,20.01691700000,,,,5790.00,0.970000,09h02m55.68s,135.7319963,+22d18m12.12s,22.3033664
FALSE POSITIVE,1.48824900000,,,,4080.00,0.982781,08h34m48.49s,128.7020517,+22d19m31.17s,22.3253253
FALSE POSITIVE,0.61020500000,,,,5470.83,1.184170,08h53m41.00s,133.4208162,+22d20m38.93s,22.3441480
FALSE POSITIVE,1.07639000000,,,,6523.00,1.600200,08h33m07.00s,128.2791625,+22d21m29.50s,22.3581943
CANDIDATE,5.17518000000,1.53000000,,,,0.826000,08h48m59.28s,132.2470045,+22d25m51.12s,22.4308666
CANDIDATE,9.73605539000,,,,5508.00,0.946449,08h24m41.87s,126.1744434,+22d41m19.96s,22.6888782
CANDIDATE,2.22645000000,2.60000000,,,,0.782000,08h36m50.87s,129.2119475,+22d44m27.94s,22.7410958
CANDIDATE,2.22600000000,,,,5013.00,0.778333,08h36m50.87s,129.2119475,+22d44m27.94s,22.7410958
CANDIDATE,3.20900000000,,,,5060.51,0.910204,08h24m05.64s,126.0234932,+22d46m59.52s,22.7832013
CANDIDATE,3.20918500000,40.10000000,,,,0.890000,08h24m05.64s,126.0234932,+22d46m59.52s,22.7832013
CANDIDATE,3.20914900000,5.27465763,,,5182.00,0.839324,08h24m05.64s,126.0234932,+22d46m59.52s,22.7832013
CANDIDATE,3.20920330000,6.33877000,67.6268,,5060.50,0.910000,08h24m05.64s,126.0234932,+22d46m59.52s,22.7832013
CANDIDATE,2.91825000000,1.65000000,,,,0.776000,08h31m41.08s,127.9211671,+22d50m29.71s,22.8415869
CANDIDATE,2.91800000000,,,,4996.93,0.763904,08h31m41.08s,127.9211671,+22d50m29.71s,22.8415869
CANDIDATE,0.89800000000,,,,,,08h32m40.69s,128.1695507,+23d01m55.21s,23.0320039
CANDIDATE,0.89821600000,4.02000000,,,5528.00,0.820000,08h32m40.69s,128.1695507,+23d01m55.21s,23.0320039
CANDIDATE,0.89834400000,9.80000000,,,,0.900000,08h32m40.69s,128.1695507,+23d01m55.21s,23.0320039
CANDIDATE,0.89831200000,32.00000000,,,,0.790000,08h32m40.69s,128.1695507,+23d01m55.21s,23.0320039
CANDIDATE,0.89803906000,,,,,,08h32m40.69s,128.1695507,+23d01m55.21s,23.0320039
CANDIDATE,6.67600000000,,,,4036.00,,08h51m00.98s,132.7540985,+23d05m01.18s,23.0836613
FALSE POSITIVE,1.02361300000,,,,6658.58,2.974850,09h06m11.60s,136.5483277,+23d07m24.95s,23.1235964
CANDIDATE,0.54570200000,,,,5330.00,4.752000,08h52m54.50s,133.2271026,+23d14m34.16s,23.2428226
CANDIDATE,4.70751000000,1.52000000,,,,0.998000,08h30m36.99s,127.6541149,+23d14m42.36s,23.2451004
FALSE POSITIVE,5.17353100000,,,,5188.24,1.146890,08h56m51.12s,134.2130130,+23d19m49.60s,23.3304435
FALSE POSITIVE,5.48945600000,,,,5151.00,3.273380,08h53m19.87s,133.3328045,+23d31m54.29s,23.5317481
FALSE POSITIVE,0.69970500000,,,,6804.44,2.097810,09h00m54.16s,135.2256611,+23d36m36.70s,23.6101958
FALSE POSITIVE,0.55531700000,,,,5295.00,1.078510,09h03m13.21s,135.8050393,+23d46m17.70s,23.7715847
FALSE POSITIVE,0.56919200000,,,,6510.00,1.519740,08h47m43.18s,131.9299153,+23d46m30.17s,23.7750461
FALSE POSITIVE,0.75139400000,,,,5480.00,1.273170,08h43m43.89s,130.9328783,+23d47m47.55s,23.7965421
CANDIDATE,1.17715000000,,,,6390.00,2.529000,08h57m21.02s,134.3375726,+24d06m50.91s,24.1141415
FALSE POSITIVE,9.14870100000,,,,6072.00,1.821500,08h38m16.88s,129.5703396,+24d30m43.27s,24.5120206
CANDIDATE,1.19031600000,,,,3420.00,0.335000,08h44m13.28s,131.0553251,+24d30m58.63s,24.5162853
FALSE POSITIVE,2.72446900000,,,,6707.00,1.602220,08h41m05.30s,130.2720943,+24d32m32.76s,24.5424323
FALSE POSITIVE,12.88614700000,,,,5033.00,0.805017,08h51m43.25s,132.9302232,+24d37m02.00s,24.6172215
FALSE POSITIVE,0.72310200000,,,,5897.77,1.191620,08h46m23.05s,131.5960511,+24d45m24.99s,24.7569414
CANDIDATE,6.92480800000,8.50000000,,,5300.00,0.795000,08h47m05.93s,131.7746924,+24d56m21.88s,24.9394118
FALSE POSITIVE,0.52601800000,,,,3614.00,0.671247,08h55m30.20s,133.8758538,+25d01m13.99s,25.0205528
CANDIDATE,1.19035400000,,,,6350.00,2.407000,08h44m16.16s,131.0673398,+25d04m32.77s,25.0757683
FALSE POSITIVE,0.79304800000,,,,5459.00,1.763350,08h47m21.24s,131.8385066,+25d09m56.25s,25.1656263
FALSE POSITIVE,0.59439200000,,,,5552.00,,08h41m38.94s,130.4122681,+25d10m57.59s,25.1826645
FALSE POSITIVE,1.16030800000,,,,4331.00,0.883616,08h42m49.69s,130.7070546,+25d11m27.92s,25.1910877
CANDIDATE,5.19025400000,,,,3120.00,0.645000,08h48m22.11s,132.0921180,+25d14m35.79s,25.2432742
CANDIDATE,11.48061100000,23.56200000,,,4692.00,5.415000,08h50m48.87s,132.7036152,+25d19m02.68s,25.3174101
FALSE POSITIVE,0.59812000000,,,,4142.00,0.935307,08h40m33.75s,130.1406047,+25d19m05.49s,25.3181929
CANDIDATE,1.09584100000,,,,5920.00,1.906000,08h46m36.84s,131.6535145,+25d20m14.84s,25.3374544
CANDIDATE,1.71700000000,,,,6049.00,1.690890,13h51m09.94s,207.7914221,-18d27m42.46s,-18.4617958
CANDIDATE,0.71654610000,25.50000000,,,,1.754000,13h51m09.94s,207.7914221,-18d27m42.46s,-18.4617958
CANDIDATE,12.42600000000,,,,5926.00,1.346530,13h48m29.90s,207.1245787,-18d11m47.88s,-18.1966339
CANDIDATE,16.71502900000,3.40200000,,,5406.00,0.854000,13h43m37.02s,205.9042638,-18d01m25.50s,-18.0237509
CANDIDATE,2.76294135000,,,,5794.00,0.787867,13h40m35.28s,205.1470099,-17d41m42.63s,-17.6951755
CONFIRMED,2.28936300000,1.48000000,,1149.00,5171.00,0.800000,13h48m49.47s,207.2061241,-17d36m35.63s,-17.6098985
CONFIRMED,2.28943000000,1.32300000,,,,,13h48m49.47s,207.2061241,-17d36m35.63s,-17.6098985
CONFIRMED,2.28896000000,1.83000000,,,,0.749000,13h48m49.47s,207.2061241,-17d36m35.63s,-17.6098985
CONFIRMED,5.21378000000,2.29000000,,,,0.749000,13h48m49.47s,207.2061241,-17d36m35.63s,-17.6098985
CONFIRMED,5.21396500000,2.27000000,,866.00,5171.00,0.800000,13h48m49.47s,207.2061241,-17d36m35.63s,-17.6098985
CONFIRMED,5.21300000000,,,,5008.00,0.776343,13h48m49.47s,207.2061241,-17d36m35.63s,-17.6098985
CANDIDATE,1.22500000000,,,,5222.00,0.836336,13h25m50.91s,201.4621196,-17d28m59.43s,-17.4831758
CANDIDATE,0.59562100000,0.58303133,,,5338.00,0.863058,13h31m50.15s,202.9589465,-17d25m50.36s,-17.4306560
CANDIDATE,1.60571800000,16.00000000,,,,1.900000,13h37m13.26s,204.3052548,-17d23m50.70s,-17.3974158
CANDIDATE,6.66900000000,,,,5048.00,0.871771,13h52m18.71s,208.0779538,-17d13m31.85s,-17.2255152
CANDIDATE,17.78865200000,47.80000000,,,,0.760000,13h19m54.39s,199.9766096,-17d10m52.11s,-17.1811426
CANDIDATE,12.93488160000,,,,,,13h32m20.93s,203.0872028,-17d03m40.58s,-17.0612731
CANDIDATE,12.93562000000,33.60000000,,,,1.511000,13h32m20.93s,203.0872028,-17d03m40.58s,-17.0612731
CANDIDATE,51.73500000000,15.30000000,,,,1.511000,13h32m20.93s,203.0872028,-17d03m40.58s,-17.0612731
CANDIDATE,34.14400000000,,,,5690.00,1.689870,13h38m34.06s,204.6419350,-16d54m36.39s,-16.9101076
CANDIDATE,34.13650000000,10.54000000,,,,1.791000,13h38m34.06s,204.6419350,-16d54m36.39s,-16.9101076
CANDIDATE,3.56467000000,1.62000000,,,,0.564000,13h51m56.83s,207.9868012,-16d42m24.27s,-16.7067415
CANDIDATE,21.07910000000,2.71000000,,,,1.362000,13h43m34.59s,205.8941425,-16d41m26.41s,-16.6906686
CANDIDATE,4.17458000000,1.08000000,,,,0.280000,13h53m31.07s,208.3794531,-16d39m35.01s,-16.6597257
CANDIDATE,4.17400000000,,,,3620.00,0.539055,13h53m31.07s,208.3794531,-16d39m35.01s,-16.6597257
CANDIDATE,15.94890000000,2.48000000,,,,1.290000,13h44m44.83s,206.1867800,-16d13m02.84s,-16.2174553
CANDIDATE,2.54800000000,,,,3545.00,0.515866,13h26m44.82s,201.6867614,-16d06m19.37s,-16.1053809
CANDIDATE,2.55068936000,,,,3545.00,0.515866,13h26m44.82s,201.6867614,-16d06m19.37s,-16.1053809
CANDIDATE,2.54900000000,,,,,,13h26m39.11s,201.6629627,-16d05m41.92s,-16.0949766
CANDIDATE,2.55234671000,,,,,,13h26m39.11s,201.6629627,-16d05m41.92s,-16.0949766
CANDIDATE,2.50028500000,64.21500000,,,6051.00,2.481000,13h39m59.29s,204.9970365,-16d04m58.28s,-16.0828568
CANDIDATE,0.69629350000,3.85000000,,,,1.107000,13h23m04.75s,200.7697920,-15d49m07.49s,-15.8187466
CANDIDATE,22.44600000000,,,,4118.00,0.693527,13h25m05.28s,201.2720189,-15d37m30.70s,-15.6251955
CANDIDATE,26.14700000000,,,,5442.00,0.811187,13h21m25.47s,200.3561232,-15d22m38.20s,-15.3772776
CANDIDATE,26.14300000000,2.52000000,,,,0.809100,13h21m25.47s,200.3561232,-15d22m38.20s,-15.3772776
CANDIDATE,14.45200000000,,,,6318.00,1.115140,14h02m11.29s,210.5470248,-15d04m10.18s,-15.0694950
CANDIDATE,36.15200000000,,,,6318.00,1.115140,14h02m11.29s,210.5470248,-15d04m10.18s,-15.0694950
CANDIDATE,6.16596000000,,,,5882.00,1.300000,13h30m15.08s,202.5628516,-15d00m15.84s,-15.0044010
CANDIDATE,46.42210000000,2.66000000,,,,0.893000,13h34m30.91s,203.6288001,-14d56m50.39s,-14.9473302
CANDIDATE,46.42300000000,,,,5642.00,0.851697,13h34m30.91s,203.6288001,-14d56m50.39s,-14.9473302
CANDIDATE,1.85248700000,36.80000000,,,,2.479000,13h22m31.05s,200.6293880,-14d45m57.22s,-14.7658933
CANDIDATE,3.74633200000,1.63800000,,,4395.00,0.726000,13h24m48.98s,201.2040701,-14d41m39.49s,-14.6943019
CANDIDATE,28.24765000000,38.50000000,,,,3.570000,13h26m36.63s,201.6526072,-14d25m32.88s,-14.4257998
CANDIDATE,25.36060000000,3.11000000,,,,0.815000,13h23m16.33s,200.8180580,-14d25m27.36s,-14.4242673
CANDIDATE,15.70860000000,1.96000000,,,,0.595000,13h21m25.77s,200.3573836,-14d24m23.44s,-14.4065123
CANDIDATE,9.88600000000,1.59000000,,,,0.595000,13h21m25.77s,200.3573836,-14d24m23.44s,-14.4065123
CONFIRMED,18.09830000000,2.17000000,,,,,13h29m19.53s,202.3313765,-14d21m33.97s,-14.3594358
CONFIRMED,18.09710000000,2.21000000,,,,1.224700,13h29m19.53s,202.3313765,-14d21m33.97s,-14.3594358
