# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Oct  5 00:53:21 2025
#
# User preference: *
#
# COLUMN tfopwg_disp:    TFOPWG Dispostion (CP | FP | KP | PC)
# COLUMN pl_orbper:      Planet Orbital Period Value [days]
# COLUMN pl_trandurh:    Planet Transit Duration Value [hours]
# COLUMN pl_trandep:     Planet Transit Depth Value [ppm]
# COLUMN pl_rade:        Planet Radius Value [R_Earth]
# COLUMN pl_eqt:         Planet Equilibrium Temperature Value [K]
# COLUMN pl_insol:       Planet Insolation Value [Earth flux]
# COLUMN st_teff:        Stellar Effective Temperature Value [K]
# COLUMN st_rad:         Stellar Radius Value [R_Sun]
# COLUMN ra:             RA [deg]
# COLUMN dec:            Dec [deg]
#
tfopwg_disp,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_eqt,pl_insol,st_teff,st_rad,ra,dec
PC,0.8675883,1.3814953,321.4840933,1.4302423,1474.8095115,1118.0589981,5011.2200000,0.7452400,215.6021550,55.3342590
CP,18.8408910,5.7650000,331.0000000,2.0034200,868.0000000,94.5008000,6093.0000000,1.2200000,256.1387510,56.8425490
CP,5.1396666,0.8991981,769.5996824,2.2590570,883.3765229,143.9144538,5374.0000000,0.8159240,280.9237840,74.9378330
CP,9.4280902,1.3770000,799.0000000,2.4919500,623.0000000,25.1545000,5374.0000000,0.8200000,280.9237840,74.9378330
CP,27.6438617,5.3210000,560.0000000,3.6802700,801.0000000,68.4355000,5873.0000000,1.6200000,241.7639370,67.8776400
CP,6.2678320,2.7890000,321.0000000,1.9977900,1052.0000000,203.4340000,5950.0000000,1.1500000,84.2992800,-80.4646040
PC,15.5174519,5.3220000,434.0000000,2.4359200,1056.0000000,207.0480000,5780.0000000,1.3400000,283.7945620,64.5313700
PC,4.6274206,4.6582573,152.4142924,1.4333200,1239.4886654,557.8163511,5780.0000000,1.3400000,283.7945620,64.5313700
PC,22.0929740,5.8130000,435.0000000,2.3352500,790.0000000,64.9320000,5885.0000000,1.2400000,305.4129060,58.1408280
CP,0.4090681,0.6165726,1281.2294665,1.1833779,967.4422529,207.0242436,3328.0000000,0.3087990,287.2921010,74.1742760
CP,23.5407467,4.0250000,956.0000000,2.1144100,564.0000000,16.8576000,5236.0000000,0.7500000,297.3986780,76.1391780
CP,0.4702719,1.3258819,209.4931300,1.4344026,2147.7419002,5028.6262848,5466.0000000,0.9249900,305.4749250,70.9437050
PC,9.8130697,3.9100000,630.0000000,2.6735200,1013.0000000,175.2610000,6240.0000000,1.0600000,292.7677400,71.4973580
PC,4.7842093,2.9470000,390.0000000,2.1440100,1267.0000000,428.7720000,6240.0000000,1.0600000,292.7677400,71.4973580
PC,6.3170657,2.4466954,688.3375977,2.4720516,822.8089031,108.3220651,5180.0000000,0.8303100,302.0014570,51.3617960
PC,4.5057387,1.8856750,428.7456455,1.7133121,920.9063040,169.9741138,5180.0000000,0.8303100,302.0014570,51.3617960
FA,1.2273079,4.8114753,66.4147779,3.6075647,2575.4100491,10396.9641276,6906.0000000,4.1204100,201.3368170,75.9827130
CP,8.0970819,3.1278520,4723.0724376,2.6354043,388.1291894,5.3632275,3391.0000000,0.3815860,316.3240030,57.7710950
FA,,3.4177250,2167.3207374,3.4924290,272.9870031,1.3124685,5780.0000000,0.6043850,300.7086640,39.6683710
PC,2.3691849,1.6840374,699.3113402,1.6142010,1160.0492093,427.9831307,5780.0000000,0.6043850,300.7086640,39.6683710
PC,5.1300200,4.7800000,3376.0000000,8.8642800,1501.0000000,842.8660000,5430.7000000,1.5800000,333.1747160,-55.9788030
CP,2.0439268,1.0089370,465.1929875,1.0924808,660.3898166,44.9492524,3407.0000000,0.4736030,286.8540630,59.0866250
CP,16.5379864,2.7960000,608.0000000,2.5194800,751.0000000,53.0216000,5781.0000000,1.0300000,186.5242820,61.2589290
CP,11.0619937,1.7587777,3249.1164334,1.6184944,304.1529390,2.0225025,3248.0000000,0.2753640,290.1739740,73.1951080
CP,6.5886877,1.6780000,852.0000000,2.1274600,646.0000000,28.9612000,4920.0000000,0.7100000,258.2232700,57.1977780
CP,4.3135263,1.8740000,274.0000000,1.1740500,963.0000000,142.8330000,4920.0000000,0.7100000,258.2232700,57.1977780
PC,2.6794168,2.9888010,13578.3447901,13.6925582,1444.1347090,1027.9022729,6075.0000000,1.1439400,300.8423070,53.2941810
APC,3.6231364,2.3850000,17749.0000000,18.4921000,1306.0000000,483.7420000,6458.8000000,1.3500000,308.6702880,66.4403840
CP,18.7122530,6.4750000,6066.0000000,10.3984000,1008.0000000,171.7650000,6125.0000000,1.2700000,306.7411340,33.7443880
APC,6.3768174,2.7520000,2760.0000000,,1469.0000000,774.7750000,6393.0000000,,354.8366510,45.7198510
KP,2.7759678,3.0740000,13613.0000000,15.4018000,1761.0000000,1597.5900000,6140.0000000,1.2400000,9.5730340,42.4630960
FA,9.1559340,3.1412022,908.2412562,2.4949092,727.3657867,66.1504006,5219.0000000,0.8220400,19.3617730,26.7459510
FP,6.3055600,2.9460000,860.0000000,,,,,,358.3020340,-56.0132520
FP,6.8424983,3.3079378,8029.8803050,16.4578474,977.1959895,215.5002138,5766.0000000,1.1282001,20.6106390,26.9257290
APC,3.5686777,2.5811179,20121.1854664,20.2503751,1387.9223847,876.9639130,6046.0000000,1.2852900,22.2363940,35.8648540
CP,2.1779407,2.0980000,110.0000000,1.2822800,1462.0000000,759.1830000,5801.8900000,1.2600000,261.3495850,52.7904720
KP,2.8791023,2.7497683,11426.6170088,12.0920506,1308.6978872,693.2320081,5583.0000000,1.1145999,7.0539370,42.0613450
PC,11.3125266,2.5943007,861.7265878,2.6864470,698.0518398,56.1140618,5290.0000000,0.8548410,288.3849690,62.2031240
KP,1.4200248,1.4310000,23730.0000000,12.5242000,1231.0000000,382.3280000,4910.0000000,0.7700000,303.3818700,65.1623310
PC,1.8718991,1.4750000,920.0000000,2.4073300,1001.0000000,167.0990000,4201.0000000,0.7500000,307.3965320,61.5507250
CP,5.9711357,1.5478671,1437.1086027,1.8721145,525.9795517,18.0882455,3834.0000000,0.4907370,19.1146440,49.2331380
CP,15.5324385,1.7640717,2937.4953214,2.0135760,308.4743596,2.1399188,3382.0000000,0.3693060,16.6538720,19.2249190
CP,1.8805310,1.1911684,1214.0066593,1.4548629,623.5511988,35.7280633,3382.0000000,0.3693060,16.6538720,19.2249190
KP,3.0929386,0.8776502,254.2319025,1.2815317,950.5390679,192.9304989,4884.2900000,0.7505980,348.3372030,57.1696260
KP,6.7650398,1.4210000,269.0000000,1.3921500,789.0000000,64.6487000,4884.2900000,0.7500000,348.3372030,57.1696260
FP,3.4231002,2.4377583,8643.1016455,35.4084057,1900.9587948,3086.1129325,5620.9000000,2.6126101,73.6414740,-57.5134530
CP,2.5272822,1.2658610,1847.4872236,2.2007181,661.8963360,45.3608214,3624.0000000,0.4901200,10.0891430,61.2133870
CP,20.7724316,5.5080000,1415.0000000,3.9157600,1060.0000000,209.7220000,5625.5600000,0.9700000,30.9050060,21.2813270
CP,52.5637056,6.5000000,1193.0000000,3.2837200,542.0000000,14.3711000,5625.5600000,0.9700000,30.9050060,21.2813270
CP,6.3634106,2.6923020,2368.6952027,4.4784698,826.0146095,110.0200699,5103.0000000,0.8594830,14.1142610,48.6375170
CP,5.2544884,2.8980000,567.0000000,2.1916000,1144.0000000,284.9410000,5958.0000000,0.9900000,15.5981440,37.1854390
FP,5.2226210,4.6936290,15867.9920175,3.7216015,329.6508495,2.7908584,3453.0000000,0.2759460,349.2890720,70.1905760
PC,8.4953513,0.9060555,718.4869448,5.2961699,1813.3452070,2555.3062468,10012.0000000,1.8801600,357.0012750,49.7905330
KP,1.2174936,2.5700000,6969.0000000,12.9438000,2361.0000000,5165.9200000,6596.0400000,1.4600000,0.3620990,39.3837950
KP,2.7324809,2.2139341,9548.2806012,18.2785375,1809.0414376,2531.1335542,6695.0000000,1.6127100,9.4587440,51.2887780
CP,10.1802014,4.6130000,11500.0000000,12.3422000,1119.0000000,261.0130000,5623.0000000,1.0400000,126.4337430,-13.5595480
FP,16.6828999,1.8040000,2054.0000000,17.1854000,550.0000000,15.2595000,6423.0000000,2.6300000,288.8180980,57.7605690
CP,4.8670900,3.1030000,4210.0000000,7.4291500,1272.0000000,435.1520000,5814.3000000,1.1500000,338.3208030,-38.1598280
FP,3.3540530,1.8984151,6389.1712796,,2652.2635415,11694.6627862,8181.0000000,,332.6136390,63.5505500
FP,2.1853174,1.6560000,1168.0000000,14.8742000,1952.0000000,2412.1100000,8332.0000000,4.0200000,336.7050710,52.2278420
PC,5.7121916,4.7750000,7555.0000000,15.4584000,1570.0000000,1009.6600000,6720.0000000,1.7900000,345.9948810,52.5626950
FP,5.0037857,4.1540000,1950.0000000,6.7733800,2028.0000000,2812.5300000,6109.0000000,1.0900000,338.4350390,52.6363370
FP,1.1623941,1.2660000,1099.0000000,8.2166900,1723.0000000,1464.1600000,5843.7000000,2.2300000,343.1562040,48.5500100
FA,2.9551881,1.3610000,230.0000000,5.6020100,989.0000000,158.8660000,5054.0000000,6.1700000,285.9371050,59.1640740
FP,0.2666485,1.0750000,230.0000000,1.3046800,2072.0000000,3064.1200000,4154.0000000,0.7100000,281.1978770,62.6856440
FA,23.2879800,3.4620000,120.0000000,14.6492000,507.0000000,11.0443000,5047.0000000,8.9500000,255.5654080,64.6008930
FA,0.4721054,1.6995515,45.2185132,1.3988866,3774.0009529,47943.4214221,7269.0000000,1.9375200,261.9210330,57.5105570
FA,6.9830100,3.4720000,270.0000000,13.6402000,973.0000000,148.8180000,5118.0000000,8.4000000,261.1998480,61.4235210
PC,3.3399432,4.2534704,9074.0787832,,1219.3519117,522.4427099,5095.6000000,,76.6351760,-80.7680090
APC,3.9943000,4.8760000,550.0000000,11.9767000,1456.0000000,746.6660000,4939.0000000,5.1100000,13.0176760,36.3930130
PC,4.4902667,2.7580000,2513.0000000,5.5698500,1180.0000000,322.8300000,5899.0000000,1.2300000,14.6529470,34.1480420
FP,0.8667300,1.0890000,662.9250000,3.5464700,1739.0000000,1519.9600000,5904.0000000,1.2500000,1.8878050,32.4375300
CP,5.1479050,5.4050000,3710.0000000,18.0411000,1760.0000000,1594.7600000,6064.0000000,2.9000000,17.4747400,25.6816490
CP,5.0267996,2.7540440,6358.0060702,12.9814741,1378.3967823,853.1354811,6434.0000000,1.4782799,18.9953120,21.6169060
FP,2.6277641,2.9970000,490.0000000,,1687.0000000,1344.6000000,3294.0000000,,334.9813120,53.6624970
FP,10.8266100,6.8770000,5890.0000000,11.5303000,1463.0000000,760.6670000,5113.0000000,0.6800000,327.2759420,53.2937680
FP,0.8165295,2.2940000,468.0000000,4.1243500,5356.0000000,136662.0000000,8911.0000000,1.8500000,343.2332170,59.8509510
FP,1.4014167,3.6610000,2730.0000000,11.8932000,4713.0000000,81940.9000000,8014.0000000,1.6000000,321.9734800,54.5198180
FP,4.9589800,1.8310000,230.2320000,,528.0000000,12.9920000,3295.0000000,,336.8726710,59.4337900
CP,5.8574075,5.8548029,6489.7302346,13.8892762,1335.1143401,750.9220273,5982.9000000,1.6798700,112.9654210,-73.6060360
FP,1.4147363,2.4290000,990.0000000,,1667.0000000,1283.1100000,4980.0000000,,341.9647580,60.1736350
FP,1.0777740,2.6820000,2680.0000000,10.1773000,4387.0000000,61535.5000000,7274.0000000,1.5800000,332.7125720,59.6505540
FP,2.7536237,2.3900000,1460.0000000,11.1685000,2565.0000000,529.9000000,5647.0000000,2.4100000,328.2158970,60.5691560
FP,1.6534102,3.1020000,600.0000000,6.0770400,4329.0000000,58331.7000000,6928.0000000,1.4600000,339.1203720,52.1157140
FP,1.2456423,1.3540000,691.0000000,3.8059800,1695.0000000,1370.4700000,6194.0000000,1.5000000,331.5699080,52.7019170
FP,3.4272549,5.9083927,569.4677099,7.7503736,1836.8876704,2690.6140029,6338.0000000,2.0707099,326.0915060,58.5515670
FP,10.9115374,3.2690000,1039.0000000,18.4382000,3198.0000000,17372.4000000,9195.0000000,3.3700000,338.7965290,55.0310260
FP,0.4674100,1.2500000,1592.1200000,7.7780400,5361.0000000,137211.0000000,7960.5000000,1.7700000,333.6697050,53.2395570
FP,2.1575124,2.2360000,550.0000000,11.8527000,2244.0000000,4213.1200000,8326.0000000,3.8700000,339.1443500,58.2760610
FP,1.5776090,1.6460000,1055.0000000,9.7392400,2058.0000000,2982.6400000,7856.0000000,2.9100000,356.5888340,60.4870250
FP,1.5978200,1.4900000,1713.6900000,3.5999500,1548.0000000,955.6760000,5037.6000000,0.7900000,83.3491210,-58.7450930
FP,1.2385200,3.1380000,440.0000000,7.1171200,2736.0000000,9304.0600000,6524.0000000,3.4000000,348.5741880,65.9579720
FP,1.1025238,2.3210000,2919.0000000,15.8737000,5314.0000000,132458.0000000,9218.0000000,2.0000000,340.3522590,69.0744470
FP,1.5972260,5.3721722,3834.1260621,,1559.2651198,1397.0143195,,,345.4880660,64.0673370
FP,1.7658900,3.8070000,730.0000000,4.0659700,2509.0000000,6579.9700000,6221.0000000,1.5500000,350.3737960,60.1756370
FP,1.3699100,4.1560000,1170.0000000,11.8886000,3254.0000000,18625.3000000,7339.8000000,3.6400000,351.6484170,64.3046990
FP,3.6650500,2.3460000,910.0000000,7.1901600,1352.0000000,555.0830000,6370.0000000,2.3200000,357.3680970,61.6828190
CP,2.0560153,2.7730000,17453.0000000,17.2767000,1839.0000000,1899.8300000,6485.0000000,1.2400000,340.0846200,69.5037310
FP,2.2550500,3.0340000,658.0000000,,,,,,340.0365930,65.4397280
CP,1.9026060,2.3653693,8984.9897271,19.5765040,2917.5260913,17123.0054990,9918.0000000,1.8224100,352.2675210,67.0348060
FP,1.0960111,3.1670000,2150.0000000,9.0571400,,14474.6000000,6083.0000000,1.5800000,355.4166640,62.9214850
FP,7.0077600,2.6800000,3666.9900000,8.1288000,1161.0000000,302.5110000,6347.0000000,1.2200000,332.3574820,-62.3344530
FP,6.1461734,5.3860000,1034.0000000,6.9623600,2649.0000000,8177.5200000,6153.0000000,1.5000000,350.2327310,62.1611790
FP,4.1812866,4.3940000,4280.0000000,15.4480000,1585.0000000,1049.2800000,6146.0000000,2.3100000,356.7705790,69.0495220
FP,2.9798592,2.7370000,580.0000000,4.9222700,2704.0000000,8878.8100000,9024.0000000,1.8900000,314.2690360,78.6749170
FP,6.7269400,2.6490000,1070.0000000,5.1927300,1123.0000000,264.8100000,6745.0000000,1.5300000,311.2365350,69.1518070
FP,10.9554897,6.7720000,370.0000000,22.7316000,3316.0000000,20081.6000000,8522.0000000,6.7900000,319.1449780,58.7728090
FP,0.6171788,1.4330000,519.0000000,7.2634100,3260.0000000,18771.3000000,9603.0000000,3.1400000,308.0657760,58.3289010
FP,1.5309799,1.3700000,654.0000000,6.0106100,1613.0000000,1124.0900000,6298.0000000,2.3800000,318.3475860,56.9437320
PC,5.0625809,3.6900000,2884.0000000,15.2343000,1757.0000000,1582.9400000,7664.0000000,2.7600000,5.9654610,51.4682930
APC,9.9385448,3.9330000,8500.0000000,,,,,,13.2220220,60.8916850
FP,0.8229000,2.0680000,2660.0000000,,4343.0000000,59083.0000000,8078.0000000,,11.0427750,59.4644980
APC,7.6316384,2.0540000,4580.0000000,12.4425000,,212.6170000,6338.3000000,1.4900000,68.0737850,-66.9162990
FP,0.5026100,1.1270000,1120.0000000,6.2806700,,15525.5000000,6941.0000000,1.6700000,12.8814250,55.7109260
APC,0.5175204,1.0433667,1347.9655570,,2270.2112839,6277.4912154,5095.6000000,,13.5973430,54.5280090
PC,8.9054070,2.7100000,6702.0000000,12.3602000,1092.0000000,236.6560000,6659.0000000,1.4100000,4.7362380,57.2006290
PC,3.6458046,1.8280000,1168.0000000,2.9327200,1011.0000000,173.9080000,5053.0000000,0.8800000,355.2467210,57.4852420
PC,8.0637954,0.8040000,2301.0000000,9.2943100,628.0000000,25.9007000,5053.0000000,0.8800000,355.2467210,57.4852420
FP,1.4185300,2.7280000,560.0000000,3.9322100,2481.0000000,6293.4600000,6329.0000000,1.6800000,6.0746760,57.8817180
FP,6.5344463,2.7740000,3240.0000000,15.3823000,1559.0000000,982.8220000,7715.3000000,2.6700000,10.9627170,61.8356260
FP,2.0136530,2.1214907,822.8974252,9.0269074,3580.9202252,38859.7127334,10310.0000000,2.6771300,11.3024000,56.0700580
PC,6.4902646,2.5450000,1080.0000000,3.2414600,990.0000000,159.6900000,5999.0000000,0.9600000,348.5814500,44.5087590
PC,6.5469200,4.5890000,2400.0000000,5.6288200,1306.0000000,483.6520000,6034.0000000,1.1200000,356.9956930,47.6556010
FP,2.5902660,4.3780000,700.0000000,9.5452600,2985.0000000,13184.6000000,5855.0000000,3.2200000,346.5182660,52.7870140
FP,6.7465700,1.8030000,2970.0000000,16.2785000,833.0000000,80.0277000,5910.7000000,2.5700000,313.2614540,-38.5949230
FP,5.2273176,3.5720000,2856.0000000,,584.0000000,19.3670000,3593.0000000,,349.7186250,56.0085980
FP,3.7983639,1.5940000,3194.0000000,13.7263000,,2113.1100000,9500.0000000,2.3600000,350.1088160,55.5241100
FA,8.2916000,3.3610000,470.0000000,6.7158200,900.0000000,109.0670000,5119.0000000,3.1000000,348.8749230,46.5760220
FP,5.1366400,4.4500000,930.0000000,7.0415200,2355.0000000,5106.9200000,9238.0000000,2.3200000,357.6740340,50.3549620
PC,1.2918334,1.4290000,1224.0000000,,,,4630.4000000,,346.3473610,46.9031170
FP,1.5166573,1.6070000,1590.0000000,7.7384600,1954.0000000,2422.3300000,6905.3000000,2.0000000,6.0306170,40.1655710
PC,1.1334500,1.8940000,490.0000000,3.0342400,2159.0000000,3611.2500000,6223.0000000,1.4000000,1.1968250,41.5938800
FP,0.7193300,1.4740000,478.8230000,3.4564800,2210.0000000,3964.3300000,5758.0000000,1.4400000,355.4518930,37.1865660
FA,12.6017000,4.8350000,800.0000000,3.3429200,949.0000000,135.0680000,5861.6000000,1.2100000,4.3585190,42.2822040
FP,2.5798051,3.4130000,5740.0000000,25.2815000,2619.0000000,7814.1900000,6116.5000000,1.4900000,8.3043820,46.3403050
PC,5.4499753,4.3190000,973.0000000,5.2875900,1499.0000000,839.2030000,6220.5000000,1.7900000,321.1149800,-37.8501810
FP,1.6256942,1.9880000,1720.0000000,32.1007000,3151.0000000,16378.0000000,6628.0000000,3.9600000,21.7362010,49.3886530
PC,1.6754600,1.2020000,1250.0000000,6.4488900,1506.0000000,855.7870000,6745.5000000,1.7800000,19.7003870,41.5061120
FP,7.5719300,2.6560000,420.0000000,10.2119000,1479.0000000,795.6350000,9146.0000000,4.7200000,22.9729730,46.3998260
APC,5.9382163,2.2440000,6171.0000000,18.5099000,1364.0000000,576.0710000,6775.5000000,2.0900000,24.6905030,42.6777390
KP,9.4341589,2.8505348,4001.9249350,6.3734064,799.4458445,96.5333103,5450.4000000,0.9381680,289.2262880,49.5482810
FP,2.0998900,0.9080000,27336.4000000,10.1564000,1263.0000000,422.4910000,6025.3000000,1.0400000,257.8767420,72.1355550
FP,1.4412700,2.6050000,2750.0000000,9.2027900,3409.0000000,22433.7000000,8009.0000000,1.6500000,324.7143990,65.0391720
FP,1.0869700,1.9670000,860.0000000,4.9844500,2042.0000000,2889.0100000,5751.0000000,1.6900000,8.1635720,54.6545940
FP,0.6860100,1.6140000,910.0000000,,,,,,48.3522640,49.7837570
PC,3.4648951,1.0460000,1339.0000000,9.7272800,1225.0000000,374.6480000,8455.3000000,2.5400000,20.7173980,48.9553640
FP,14.1520000,3.5990000,3800.0000000,10.6751000,1148.0000000,288.5310000,5823.9000000,1.2800000,41.4675980,-64.3206870
PC,0.2580006,0.5351356,812.7310325,6.2776081,5634.0594403,238125.9359212,9035.0000000,2.0868700,29.0328560,52.5854820
FP,2.2745600,3.3200000,1020.0000000,13.2660000,3374.0000000,21521.5000000,6777.0000000,3.3500000,38.8216960,55.7032170
FP,0.9899900,2.0500000,420.0000000,3.9513700,2612.0000000,7729.2900000,6208.0000000,1.8400000,38.1230170,52.7040910
PC,1098.2258586,6.1210000,4496.0000000,5.1394900,93.0000000,0.0125876,4582.0000000,0.7400000,38.8102030,48.2737630
APC,0.5596691,1.4780000,4538.0000000,24.4148000,,149293.0000000,8368.0000000,2.3000000,33.5052380,53.1215080
PC,1099.2560385,5.6610000,2970.0000000,23.8658000,,,8494.0000000,2.1800000,44.7202410,58.7352450
FP,3.0110600,3.0730000,1617.2200000,7.2070300,1666.0000000,1281.7400000,6516.0000000,1.6300000,15.6065030,60.7155210
FP,,4.1490000,54500.0000000,21.0557000,,,4503.5000000,0.8600000,50.3458880,52.6921120
FP,1.3593200,2.8310000,2840.0000000,10.3751000,3113.0000000,15609.5000000,5421.0000000,0.9400000,8.9898720,65.0260350
FP,1.7161400,2.0380000,681.4490000,14.1349000,1550.0000000,958.3400000,5511.5000000,4.9200000,43.6106500,52.0710300
CP,2.0845434,2.0170380,12504.8250190,13.4432705,1463.9513087,1085.4942586,5638.0000000,1.1064600,73.7014400,-76.6806060
FP,1.7462600,3.8800000,1110.0000000,5.6278600,3218.0000000,17804.9000000,8348.0000000,1.8000000,53.1962980,51.8845020
FP,1.2427000,1.5630000,663.7450000,6.0527100,1660.0000000,1263.3400000,5624.8000000,2.1400000,53.0989730,50.4990400
FP,8.6669800,6.1040000,9854.3000000,27.4804000,1998.0000000,2647.3600000,6322.2000000,2.5200000,31.9021890,45.5001560
KP,21.2164640,3.0450000,6499.0000000,13.1431000,581.0000000,18.9464000,5925.0000000,1.5500000,42.4366120,71.7530880
FP,,9.5970000,7440.0000000,11.3282000,,,5791.0000000,1.2100000,14.6401150,50.9364280
FP,2.4611008,3.1300000,1795.0000000,12.3334000,2685.0000000,8632.9700000,5429.5000000,1.6300000,51.9888390,54.8656170
FP,0.7838790,1.4870966,274.5156373,9.6813253,2252.7956163,6087.0682501,4975.0000000,5.3874698,23.4668930,45.0103290
FP,0.9983700,1.6320000,2730.0000000,5.2948900,1963.0000000,2465.9600000,6082.0000000,1.1300000,19.2786360,57.5142320
FP,1.9774100,6.5490000,5470.0000000,17.5768000,4083.0000000,46143.6000000,6742.0000000,2.1100000,34.3769650,56.4214900
FP,9.0776800,2.7800000,19171.9000000,,1571.0000000,1012.1200000,8393.7000000,,27.7380260,48.3523160
FP,2.5126600,2.4110000,2790.0100000,13.3617000,1478.0000000,793.4710000,5988.0000000,2.3000000,333.5787180,-55.3789810
KP,4.7947749,4.7990000,6864.0000000,18.3428000,1574.0000000,1021.1400000,6333.0000000,2.1800000,28.2825720,52.0539210
FP,,4.2300000,8410.0000000,18.6201000,,,5865.0000000,0.9700000,28.1635500,55.1859710
FP,1.8932775,3.1180000,3415.0000000,21.0430000,3814.0000000,35143.2000000,6904.3000000,2.0400000,34.6978900,64.3563820
FP,3.7718800,2.9230000,450.0000000,10.0329000,2363.0000000,5181.6500000,10097.0000000,4.6200000,4.2493360,58.6792530
FP,0.8865400,1.6790000,870.0000000,24.9348000,4438.0000000,64431.5000000,6919.0000000,4.2700000,6.5194250,63.3194120
FP,1.8364100,2.2220000,470.0000000,10.6176000,2722.0000000,9124.8000000,9542.0000000,5.0300000,6.3089080,62.5431150
PC,1.8079400,2.1700000,540.0000000,20.9267000,1349.0000000,550.0410000,4628.0000000,8.6100000,11.2341540,58.7120580
FP,12.5343031,4.5720000,1517.0000000,8.7177500,1292.0000000,463.5700000,7275.0000000,2.5100000,48.4234220,61.9078310
PC,3.5810830,3.4540000,760.0000000,17.1017000,2467.0000000,6158.1000000,9503.0000000,5.9600000,39.8911020,62.4333060
FP,35.4028219,4.2210000,12666.0000000,21.7639000,766.0000000,57.3420000,7455.0000000,1.7800000,14.1194860,65.6790380
PC,3.7628372,3.9560000,11360.0000000,17.3305867,1660.7594667,1797.8272074,6979.2000000,1.5874600,51.7822680,-78.5498310
FP,3.1031500,3.5350000,1760.0700000,,4184.0000000,50910.7000000,9050.3000000,,26.2994230,54.5684400
FP,,8.0600000,3010.0000000,10.4319000,,,7519.0000000,1.7000000,48.7531580,60.2381950
FP,5.6318074,3.4553092,1186.1481873,4.8217692,1190.3562406,474.4919122,5669.9000000,1.3882600,45.0884700,39.0682660
FP,2.0631300,2.1570000,600.0000000,11.9118000,1831.0000000,1866.3900000,6716.5000000,4.7700000,45.5983720,43.1838020
FP,1.5123300,2.5900000,640.0000000,11.1245000,3240.0000000,18303.0000000,9447.0000000,4.3500000,56.1433320,41.0643510
FP,1.7498117,1.6410000,2549.0000000,8.1331500,1520.0000000,886.8670000,6222.3000000,1.5300000,50.8080980,46.6821130
FP,1.9734615,3.6900000,1295.0000000,16.6678000,3193.0000000,17275.6000000,7962.9000000,3.6200000,56.2225420,45.5071880
FP,0.7377200,1.0570000,980.0000000,4.6828800,1853.0000000,1958.8400000,6001.0000000,1.4900000,44.4017980,40.0167030
PC,1.1020719,0.8640000,580.0000000,4.3306600,1549.0000000,958.1450000,6011.0000000,1.7300000,28.6603150,37.0050420
KP,1.2198382,2.8341804,12160.1096043,18.2179311,2510.7866744,9392.0471009,7398.5000000,1.6024200,36.7127380,37.5504440
FP,4.6080000,3.3830000,3213.2200000,7.9969800,1445.0000000,724.0010000,5935.0000000,1.2800000,337.5008270,-31.9243560
FP,0.3611120,0.7560000,710.0000000,6.6913600,2003.0000000,2677.3900000,6056.9000000,1.9500000,34.5559630,38.4788240
CP,5.3315500,6.1910000,4220.0000000,14.6101000,1593.0000000,1071.4200000,5917.0000000,2.2200000,38.3615690,41.0134320
FA,6.1595200,3.8340000,1230.0000000,3.9051500,1309.0000000,487.5190000,6175.9000000,1.0900000,37.1324100,40.8912540
KP,4.7321735,2.5890000,8121.0000000,14.2690000,1229.0000000,379.5670000,6739.0000000,1.5600000,38.3080750,30.3604530
FP,3.4660800,4.4030000,1620.0000000,20.8363000,3450.0000000,23536.1000000,7249.8000000,3.0200000,34.1958550,29.5704730
CP,8.7094632,3.0270000,4510.0000000,20.9625000,1185.0000000,327.4720000,5597.0000000,1.5900000,54.4808900,33.0798970
APC,4.7126743,1.0610000,1941.0000000,6.9760200,691.0000000,38.0033000,5626.5000000,1.5500000,56.6602820,27.4715230
FP,1.0357235,1.3660000,480.0000000,15.8280000,1691.0000000,1358.5100000,4963.0000000,7.8300000,56.8143440,30.1494980
FP,2.4727425,2.3410000,2929.0000000,23.6289000,2298.0000000,4630.8200000,6057.7000000,2.1300000,50.8011500,33.0781330
FA,13.3118000,4.4920000,750.0000000,2.6798100,901.0000000,109.8750000,6011.0000000,0.9800000,288.6754230,60.6709480
PC,2.7684331,4.2230000,3234.0971112,4.6193800,,1330.1600000,5388.0000000,0.9800000,46.6865530,-82.3163710
PC,2.5287981,1.2860000,387.0000000,2.2995100,1083.0000000,228.8040000,5740.2000000,1.1900000,263.5434170,61.1214720
CP,16.2016817,2.7920000,885.0000000,2.3810100,641.0000000,28.0911000,5071.0000000,0.7800000,325.2016450,84.3337610
KP,2.8641388,2.4170000,9597.0000000,15.5276000,1373.0000000,591.0670000,6082.0000000,1.5300000,277.4780750,85.2333210
FP,5.2469991,3.4500000,1180.0000000,5.4608700,1381.0000000,604.1510000,6651.0000000,1.4400000,356.3185740,62.1426990
FP,0.7438074,1.3770000,633.0000000,9.7791100,1790.0000000,1705.0300000,5182.0000000,4.0400000,349.7963290,75.0178640
FP,3.9401791,1.9910000,13317.0000000,25.3897000,1600.0000000,1090.2600000,7170.0000000,1.5100000,351.1747180,77.6271130
PC,1.3433022,0.6620000,1052.0000000,4.7216900,1218.0000000,365.8570000,6713.0000000,1.4500000,323.8701700,68.9873070
FP,1.4013505,1.5620000,1532.0000000,3.7143000,1857.0000000,1975.1300000,5521.0000000,0.9400000,325.3250500,68.8072020
FP,2.1679000,1.3900000,560.0000000,5.3284800,2820.0000000,10508.5000000,10596.0000000,2.0000000,340.9096480,69.0919280
