# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Oct  5 00:48:44 2025
#
# User preference: *
#
# COLUMN koi_disposition: Exoplanet Archive Disposition
# COLUMN koi_period:     Orbital Period [days]
# COLUMN koi_duration:   Transit Duration [hrs]
# COLUMN koi_depth:      Transit Depth [ppm]
# COLUMN koi_prad:       Planetary Radius [Earth radii]
# COLUMN koi_teq:        Equilibrium Temperature [K]
# COLUMN koi_insol:      Insolation Flux [Earth flux]
# COLUMN koi_steff:      Stellar Effective Temperature [K]
# COLUMN koi_srad:       Stellar Radius [Solar radii]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec:            Dec [decimal degrees]
#
koi_disposition,koi_period,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_steff,koi_srad,ra,dec
FALSE POSITIVE,0.569115976,2.02800,7.9690e+02,1.80,1589.0,1504.24,4788.00,0.6560,290.651250,41.234505
FALSE POSITIVE,7.258450123,5.72970,3.7147e+03,5.53,880.0,141.30,5638.00,0.9200,290.636510,38.707668
FALSE POSITIVE,6.095984100,10.39000,1.1270e+02,0.99,988.0,225.07,5826.00,0.8850,296.118100,50.516590
CONFIRMED,22.922118100,8.20000,1.4030e+02,1.33,684.0,51.70,5897.00,1.0810,291.578980,44.531712
CONFIRMED,16.104745030,5.71200,1.2410e+02,3.21,1159.0,425.93,5822.00,2.8860,297.215790,47.378521
CONFIRMED,7.426973780,3.20600,2.0520e+02,1.40,899.0,154.52,5573.00,0.9820,297.070370,42.977741
FALSE POSITIVE,0.874629873,1.78200,6.8100e+01,0.72,1597.0,1538.25,5099.00,0.8320,290.302950,46.790810
FALSE POSITIVE,5.460918460,1.78100,1.7200e+02,1.25,1106.0,353.34,6319.00,0.9300,295.783810,43.182400
CONFIRMED,3.173230120,1.90940,2.0450e+02,0.88,830.0,112.21,4500.00,0.6330,284.828030,44.608730
CONFIRMED,13.297069500,3.28300,2.1970e+02,0.91,515.0,16.64,4500.00,0.6330,284.828030,44.608730
CONFIRMED,5.398752862,3.43030,3.4650e+02,2.21,1140.0,398.33,5790.00,1.1980,291.032320,49.040272
FALSE POSITIVE,5.266481260,1.96400,9.7800e+01,1.07,1155.0,420.53,6204.00,1.0650,293.966890,42.841888
FALSE POSITIVE,2.675968080,2.02100,4.2060e+02,1.57,998.0,234.19,4732.00,0.7950,294.070400,38.181702
CONFIRMED,7.416830330,7.27400,7.2600e+01,3.36,1425.0,973.85,4938.00,3.3240,290.621830,51.057301
CONFIRMED,0.727331746,0.83230,3.5740e+02,0.67,849.0,122.92,3460.00,0.3560,283.401950,41.516331
CONFIRMED,1.302017467,1.36920,2.9050e+02,1.37,1344.0,772.73,4948.00,0.8160,295.909210,51.347939
CONFIRMED,8.630500920,3.14400,3.2580e+02,1.43,739.0,70.63,5352.00,0.7640,289.377040,40.001160
FALSE POSITIVE,12.491173880,2.84800,1.8990e+02,1.36,763.0,80.08,5753.00,0.9110,287.138280,41.777710
CONFIRMED,3.276457230,2.21900,3.2300e+02,1.71,1195.0,482.56,5812.00,0.9630,284.905730,43.949162
CONFIRMED,16.057329100,3.54600,5.7500e+02,2.27,645.0,41.04,5644.00,0.8060,296.753390,49.378109
FALSE POSITIVE,8.443265570,3.35300,3.5950e+02,1.97,934.0,179.79,6081.00,1.0230,284.282590,46.991638
CONFIRMED,4.603002560,2.68480,3.0250e+02,1.32,848.0,122.02,4821.00,0.7880,294.664700,39.783829
FALSE POSITIVE,16.932928400,1.21800,4.8830e+02,2.46,793.0,93.34,6310.00,1.0950,290.062930,39.922272
CONFIRMED,12.000896670,3.26600,4.2070e+02,1.47,632.0,37.81,5195.00,0.6900,285.822330,45.711891
FALSE POSITIVE,1.169010526,1.17170,1.6590e+02,91.91,3766.0,47688.80,5944.00,5.8470,289.939270,41.502659
CONFIRMED,1.916940872,1.42430,1.0510e+02,0.89,1246.0,571.25,5083.00,0.8720,294.889650,49.379768
CONFIRMED,5.056613020,3.92600,1.3790e+02,1.15,1049.0,286.32,5926.00,0.9390,294.224460,50.075588
CONFIRMED,24.334493900,6.55700,3.2310e+02,1.74,647.0,41.30,6091.00,0.9670,296.894840,44.371780
CONFIRMED,131.187921000,6.90500,9.1590e+02,2.34,284.0,1.54,4898.00,0.8030,298.594820,41.435940
FALSE POSITIVE,2.174898060,4.59900,7.4800e+01,1.08,1496.0,1187.26,5749.00,1.1500,297.786470,45.417480
CONFIRMED,25.885939700,4.54800,2.1710e+02,1.66,542.0,20.35,5190.00,0.8990,287.706880,40.685242
CONFIRMED,28.625350200,4.55100,6.5270e+02,2.38,573.0,25.54,5774.00,0.9410,285.803220,44.873428
CONFIRMED,6.981413270,6.52700,3.8000e+01,1.42,1384.0,865.81,6054.00,2.1630,284.593720,46.449780
FALSE POSITIVE,1.319677953,1.97800,1.0070e+02,1.13,1843.0,2729.71,6306.00,1.0760,298.346530,40.139790
CONFIRMED,8.943377240,2.46900,2.1510e+02,1.48,946.0,188.93,6074.00,1.0050,296.455750,39.598591
CANDIDATE,0.827151296,1.38500,2.7240e+02,19.10,5171.0,168151.39,4452.00,11.8950,288.181980,46.246181
CONFIRMED,12.282998287,2.70960,2.7947e+03,2.83,431.0,8.14,3879.00,0.5370,284.940980,46.566540
FALSE POSITIVE,0.328686504,0.85920,1.7190e+02,1.11,2324.0,6891.11,5430.00,0.8470,288.416840,47.731091
CONFIRMED,6.383159135,1.75040,2.3132e+03,2.73,530.0,18.73,3757.00,0.5760,285.574340,49.962269
CONFIRMED,5.576547820,3.67300,5.3600e+01,0.92,1183.0,462.81,6187.00,1.2380,290.025910,48.335949
CONFIRMED,115.686339200,4.65000,9.4590e+02,3.52,401.0,6.09,5800.00,1.1490,291.268100,44.488190
CONFIRMED,3.813714230,1.97300,2.8100e+02,1.37,1029.0,264.63,5547.00,0.8200,291.397860,45.588558
CONFIRMED,38.097071700,4.30700,9.1330e+02,1.58,242.0,0.81,3554.00,0.3980,294.366090,49.915058
CANDIDATE,11.619170700,1.81900,7.0040e+02,2.21,756.0,77.43,5870.00,0.8340,299.061680,43.720329
FALSE POSITIVE,2.637574744,5.45730,5.4235e+03,9.16,1385.0,868.86,6108.00,1.0300,293.670100,46.295670
CANDIDATE,38.229203700,3.89300,6.0580e+02,1.51,359.0,3.92,4544.00,0.5980,290.836270,47.444939
CONFIRMED,16.301272700,3.97400,2.5950e+02,1.54,557.0,22.73,4873.00,0.7960,285.295750,44.552750
CONFIRMED,13.323540780,3.87300,1.1660e+02,1.32,872.0,136.61,6113.00,1.2180,286.625760,37.537300
CONFIRMED,2.607545159,1.39160,3.5150e+02,2.07,1431.0,993.79,6147.00,1.0960,287.793850,45.980240
CONFIRMED,3.244175410,1.99200,3.7190e+02,1.84,1047.0,283.66,5094.00,0.8700,291.959990,44.900021
CANDIDATE,176.845697000,3.81200,4.3160e+02,42.05,291.0,1.69,5592.00,0.7970,294.397490,44.124199
FALSE POSITIVE,6.855672480,2.26800,1.9770e+02,1.27,897.0,153.07,5734.00,0.8830,288.881230,44.959209
FALSE POSITIVE,2.286072820,7.82000,2.6180e+02,1.01,942.0,186.39,4583.00,0.6540,297.223940,47.025162
CONFIRMED,9.605059760,3.00630,5.5000e+01,0.91,941.0,185.15,5790.00,1.1980,291.032320,49.040272
FALSE POSITIVE,3.547899280,2.86100,1.8530e+02,0.99,987.0,224.45,5399.00,0.7250,296.960170,47.964771
CANDIDATE,18.024348200,3.57500,4.4120e+02,1.98,683.0,51.44,5955.00,0.9100,297.240170,49.616859
CANDIDATE,16.479322900,3.31200,4.7910e+02,1.53,537.0,19.62,4908.00,0.7160,296.723050,49.106659
CONFIRMED,3.656909090,2.06400,1.0740e+02,1.32,1368.0,828.52,6078.00,1.2710,293.500490,44.932461
CONFIRMED,88.071276900,6.75800,8.8540e+02,2.40,330.0,2.79,4939.00,0.8190,292.307430,46.626640
CONFIRMED,8.383957960,5.20000,1.0850e+02,3.24,1285.0,645.64,5405.00,2.6050,292.125210,41.407810
CONFIRMED,1.681890510,2.99200,8.3200e+01,1.27,1790.0,2432.14,5827.00,1.3740,289.956510,47.020390
FALSE POSITIVE,8.590003550,6.68000,2.9810e+02,1.82,843.0,119.26,5817.00,0.8760,298.754910,46.941589
CONFIRMED,44.997760400,9.68600,1.7020e+02,1.59,508.0,15.74,5871.00,0.9830,282.239690,43.244049
CONFIRMED,7.128151630,5.52200,4.5900e+01,1.36,1373.0,839.50,6311.00,1.9940,284.422730,49.106220
CANDIDATE,2.100816290,2.81820,1.6910e+02,1.65,1378.0,852.78,5815.00,0.9180,291.877990,41.769581
FALSE POSITIVE,0.872952088,1.44990,1.3730e+02,25.50,3165.0,23715.46,7102.00,2.0820,289.802980,47.259159
CONFIRMED,7.010742950,2.17870,2.2280e+02,3.76,1453.0,1054.63,5814.00,2.4760,290.633300,40.136990
CONFIRMED,17.292263100,7.04200,2.0310e+02,2.13,809.0,101.22,5936.00,1.2990,296.376920,50.621471
CONFIRMED,94.289223000,4.10200,5.0540e+02,2.11,369.0,4.39,5632.00,0.9040,287.066380,41.874908
CONFIRMED,14.026346920,1.28080,4.0360e+02,2.66,822.0,108.07,5970.00,1.1310,286.251650,42.378479
FALSE POSITIVE,12.425866431,29.14280,2.5790e+02,2.12,741.0,71.19,5428.00,0.9400,297.588010,40.577980
CONFIRMED,25.543370400,8.56700,1.3860e+02,2.11,772.0,84.00,5422.00,1.7820,292.885280,41.279240
FALSE POSITIVE,33.854258600,12.68900,2.5330e+02,15.96,1326.0,730.99,4553.00,10.4720,294.782350,39.596519
CONFIRMED,45.090920100,4.60500,4.3630e+02,2.44,487.0,13.27,5790.00,0.9000,292.115170,49.256432
CONFIRMED,15.053988600,4.42200,2.2150e+02,1.44,665.0,46.30,5475.00,0.8180,298.950320,46.692799
CANDIDATE,3.679368630,3.47000,8.5900e+01,0.92,1112.0,361.27,5676.00,0.8480,298.353610,41.820068
CANDIDATE,7.446463500,4.08400,7.8000e+01,0.77,879.0,141.12,5676.00,0.8480,298.353610,41.820068
CONFIRMED,159.388788000,8.43200,1.0330e+03,2.73,289.0,1.65,5135.00,0.8740,293.639400,44.982529
CONFIRMED,1.565412613,0.75720,2.7546e+03,1.73,648.0,41.85,3464.00,0.3280,282.250210,44.921108
CONFIRMED,5.148923460,0.96130,2.3550e+03,1.72,436.0,8.54,3464.00,0.3280,282.250210,44.921108
FALSE POSITIVE,0.730943372,3.00400,1.3470e+02,1.37,2190.0,5461.14,6143.00,1.0670,289.793400,38.385078
FALSE POSITIVE,0.515552803,1.78690,1.2241e+03,13.96,1807.0,2508.21,5068.00,0.7300,281.559360,42.520489
CONFIRMED,2.522590567,1.40600,2.1020e+02,25.82,1205.0,499.07,5591.00,0.8600,288.750730,47.490921
CONFIRMED,6.739682890,4.18300,1.4200e+02,1.48,1011.0,246.90,5511.00,1.1760,280.823390,42.636051
CONFIRMED,41.745988550,4.61250,4.2180e+02,2.40,584.0,27.58,5978.00,1.1710,289.664400,48.706211
FALSE POSITIVE,75.378004000,6.74400,4.4780e+02,3.82,455.0,10.13,5876.00,1.0770,297.629360,41.637459
CONFIRMED,213.258526000,7.76800,1.9923e+03,2.72,202.0,0.39,4477.00,0.6370,290.376310,41.150742
CONFIRMED,100.283067500,10.86360,3.5120e+02,2.51,475.0,12.07,6214.00,1.2970,289.347320,44.208511
CONFIRMED,4.871223664,1.59160,6.4620e+03,1.56,341.0,3.18,3157.00,0.1800,298.736110,46.498634
CONFIRMED,2.984157711,1.26370,2.5980e+03,0.92,401.0,6.12,3157.00,0.1800,298.736110,46.498634
CONFIRMED,2.886762400,0.98790,6.3180e+02,1.24,557.0,22.75,3483.00,0.3890,290.956150,49.366398
FALSE POSITIVE,0.498434645,0.95500,2.3920e+02,1.08,1676.0,1873.28,4784.00,0.7080,286.049900,38.960201
CANDIDATE,2.252976718,1.71310,4.6790e+02,1.19,795.0,94.26,4039.00,0.5590,291.231480,47.033932
FALSE POSITIVE,2.755054670,3.42600,8.5500e+01,1.74,1783.0,2387.41,6257.00,1.7480,290.637360,48.883133
FALSE POSITIVE,1.572181216,7.21900,2.1950e+02,77.12,3384.0,30903.98,6622.00,4.3150,297.110570,39.703911
FALSE POSITIVE,1.288058340,3.41900,9.2600e+01,1.08,1736.0,2142.23,5631.00,1.1320,291.253080,40.216671
FALSE POSITIVE,2.722882460,2.40800,1.5260e+02,1.06,1162.0,431.75,5458.00,0.8720,297.380280,39.941071
CONFIRMED,1.574090323,1.57960,2.2490e+02,0.93,998.0,234.92,4313.00,0.6500,288.416530,47.878731
FALSE POSITIVE,0.947738312,1.20600,2.0220e+02,0.88,1229.0,537.85,4464.00,0.6380,290.731540,39.920269
CONFIRMED,13.787262700,5.74700,7.5100e+01,1.55,894.0,150.64,5691.00,1.4580,290.664120,43.499840
CONFIRMED,14.435945900,3.41400,1.0730e+02,1.46,884.0,144.45,6075.00,1.3520,285.190000,46.027962
CONFIRMED,5.959586370,2.89900,1.3310e+02,1.02,897.0,153.48,5452.00,0.9000,286.924290,47.053741
CANDIDATE,16.614622100,2.70600,3.6120e+02,1.49,604.0,31.48,5295.00,0.8000,284.354340,42.388371
FALSE POSITIVE,0.497581917,1.46000,1.4060e+02,0.76,1801.0,2487.04,5271.00,0.6300,295.535340,39.408180
CANDIDATE,5.838929930,1.10660,2.3740e+02,1.19,835.0,114.94,5279.00,0.7690,283.398250,46.689789
CONFIRMED,2.279523364,1.62020,1.2680e+02,0.87,1123.0,374.78,5017.00,0.7970,292.440400,43.209431
CONFIRMED,12.285471800,2.99600,1.6171e+03,2.21,434.0,8.39,3891.00,0.5640,283.336060,47.174541
CONFIRMED,5.536093680,2.29420,1.2233e+03,2.20,566.0,24.23,3891.00,0.5640,283.336060,47.174541
CANDIDATE,3.097568970,4.58800,8.3300e+01,1.75,1782.0,2380.18,6329.00,1.8850,285.077670,46.419601
CONFIRMED,58.033742600,5.58400,8.0710e+02,3.21,486.0,13.17,5467.00,1.1520,299.501740,40.670799
CONFIRMED,14.425263500,3.75400,2.2120e+02,1.68,773.0,84.28,5467.00,1.1520,299.501740,40.670799
CONFIRMED,26.675781800,2.69600,4.7480e+02,2.69,630.0,37.15,5467.00,1.1520,299.501740,40.670799
CONFIRMED,0.868386354,1.06600,4.8850e+02,1.52,1389.0,880.33,4792.00,0.7040,288.433590,40.380878
CONFIRMED,11.828884300,3.33700,1.9100e+02,1.18,730.0,67.13,5653.00,0.8570,286.398620,45.343529
CONFIRMED,14.751203400,1.25000,2.6110e+02,1.63,678.0,49.97,5653.00,0.8570,286.398620,45.343529
FALSE POSITIVE,1.480323978,1.83300,1.6620e+02,1.46,1743.0,2180.25,5996.00,1.0810,282.012510,46.428200
CANDIDATE,205.385912000,8.68100,1.2487e+03,2.11,200.0,0.38,4400.00,0.6240,290.253850,48.360821
CONFIRMED,6.887070730,4.46790,6.8700e+01,1.30,1155.0,420.97,5788.00,1.4740,291.385990,41.990269
FALSE POSITIVE,165.755970000,8.45000,5.7300e+01,15049.80,398.0,5.96,5800.00,1.4120,292.626370,44.021130
FALSE POSITIVE,1.114312050,2.11200,1.6040e+02,1.07,1635.0,1691.99,5776.00,0.8490,295.860080,39.140839
CONFIRMED,3.420646890,1.76700,3.5680e+02,2.27,1129.0,382.68,5370.00,0.9660,293.566350,42.132580
CANDIDATE,1.239357450,1.68300,1.5090e+02,1.50,1583.0,1488.51,5370.00,0.9660,293.566350,42.132580
CONFIRMED,0.675650404,1.82610,2.0070e+02,1.36,2085.0,4473.06,5966.00,0.9610,294.766970,41.644680
CANDIDATE,1.407020118,1.37660,1.8190e+02,1.12,1350.0,782.45,5022.00,0.8490,290.433230,51.626041
CANDIDATE,24.435995600,6.25400,4.9660e+02,2.31,674.0,48.81,6197.00,1.0350,290.540070,41.093040
FALSE POSITIVE,17.733735600,5.55800,2.1730e+02,1.24,597.0,29.95,5335.00,0.8310,290.247100,38.339390
FALSE POSITIVE,10.064786270,2.86000,2.8570e+02,1.49,729.0,66.74,5438.00,0.8200,288.969420,44.359009
FALSE POSITIVE,1.129765970,3.09600,1.3370e+02,0.83,1429.0,987.44,5366.00,0.7150,294.306520,39.765282
CONFIRMED,16.231917040,7.46100,5.0160e+02,3.54,926.0,174.10,5919.00,1.5850,291.250180,49.231834
FALSE POSITIVE,15.412676600,3.40200,5.9980e+02,2.82,618.0,34.56,5240.00,0.8560,296.547360,39.222542
FALSE POSITIVE,1.110599919,1.34930,1.5760e+02,1.07,1539.0,1320.65,5227.00,0.8670,286.865260,41.796021
CONFIRMED,21.869657140,5.51770,1.2550e+02,1.51,790.0,92.00,6214.00,1.2970,289.347320,44.208511
CONFIRMED,9.024364140,3.01100,2.1460e+02,1.62,939.0,183.39,5885.00,1.1110,290.944490,40.480042
CONFIRMED,17.340873500,3.39800,1.5900e+02,1.43,755.0,76.86,5885.00,1.1110,290.944490,40.480042
FALSE POSITIVE,0.814280672,2.32600,1.3490e+02,1.91,2563.0,10224.99,6366.00,1.5430,292.498020,49.329006
FALSE POSITIVE,0.878855771,1.10140,2.6970e+02,1.57,1864.0,2857.19,5727.00,0.9370,294.576970,38.265518
FALSE POSITIVE,2.494321760,2.32690,8.0430e+03,8.91,1342.0,766.49,5780.00,1.0000,294.106200,46.210991
CANDIDATE,17.577045690,2.02200,6.7000e+02,27.21,673.0,48.33,5653.00,0.9010,285.098720,41.775921
FALSE POSITIVE,1.006527850,1.31750,1.2590e+02,1.03,1815.0,2556.97,6089.00,0.8890,294.638340,39.397980
FALSE POSITIVE,1.995662930,4.51400,1.9700e+02,1.11,1182.0,462.26,5235.00,0.7710,297.820560,41.966930
FALSE POSITIVE,0.755111225,3.16400,1.6800e+02,1.38,1999.0,3759.62,5780.00,1.0000,284.354460,40.723286
CANDIDATE,1.400755743,1.05620,1.4440e+02,1.30,1628.0,1659.74,5487.00,1.0720,287.192470,39.626148
CONFIRMED,25.873091400,5.08500,6.9440e+02,2.88,667.0,46.82,6036.00,1.0930,285.797240,40.936180
CONFIRMED,20.264202300,4.66400,1.8530e+02,2.12,770.0,82.92,5937.00,1.2910,284.565670,41.778481
CANDIDATE,1.281328310,0.91570,5.2550e+02,4.52,2215.0,5673.71,5918.00,1.5960,295.101140,40.986679
CONFIRMED,7.441361020,4.55400,7.9700e+01,1.33,1075.0,315.02,5937.00,1.2910,284.565670,41.778481
CONFIRMED,99.253233600,7.20800,5.3800e+02,2.17,300.0,1.93,5010.00,0.7150,285.717410,44.758419
FALSE POSITIVE,3.849334010,2.29900,5.0390e+02,2.12,1147.0,408.84,5984.00,0.9060,294.360570,38.948181
CANDIDATE,119.083304200,2.55800,2.9510e+03,22.19,240.0,0.78,4412.00,0.6230,295.677980,51.257839
CANDIDATE,27.881315400,6.34600,2.0920e+02,1.54,681.0,50.86,6434.00,1.0550,299.661100,44.112381
CONFIRMED,6.480213800,3.27000,1.4200e+02,1.26,934.0,180.05,5496.00,0.9830,298.662350,48.248760
CANDIDATE,7.507900410,5.64600,1.4500e+02,1.77,1138.0,396.33,6408.00,1.3370,297.747280,48.694309
FALSE POSITIVE,21.391012500,3.51200,6.4580e+02,1.72,483.0,12.88,4889.00,0.6860,290.285030,40.689362
CONFIRMED,14.383226700,8.37800,1.7850e+02,1.84,889.0,147.78,6115.00,1.2910,290.082760,50.863480
CONFIRMED,47.318663100,10.46500,2.6340e+02,2.10,598.0,30.22,6115.00,1.2910,290.082760,50.863480
CONFIRMED,11.128274270,2.61180,6.0570e+03,4.04,408.0,6.52,3640.00,0.5030,294.528590,46.640968
CONFIRMED,2.215712960,1.82110,2.8510e+02,1.70,1283.0,638.56,5417.00,0.9010,297.020080,43.432549
CONFIRMED,34.458549500,7.43400,4.3100e+02,1.88,559.0,23.05,6161.00,0.8620,296.772830,50.188419
CONFIRMED,3.351840410,1.98550,3.4530e+02,1.88,1294.0,661.69,6198.00,1.0050,294.294530,50.725368
FALSE POSITIVE,1.615758517,1.73400,4.1700e+01,1.31,2158.0,5140.67,5622.00,2.0170,299.057250,44.074902
CANDIDATE,110.378382800,12.21100,4.8980e+02,3.02,473.0,11.82,6342.00,1.3590,285.728790,38.506973
CONFIRMED,3.446212500,2.10100,8.3500e+01,0.70,1015.0,251.24,5374.00,0.7210,288.831360,47.551991
CONFIRMED,2.005414293,1.93400,5.9500e+01,0.65,1216.0,516.85,5374.00,0.7210,288.831360,47.551991
CANDIDATE,4.288867920,2.59900,5.9300e+01,0.57,944.0,187.43,5374.00,0.7210,288.831360,47.551991
FALSE POSITIVE,1.868564038,1.19200,1.7670e+02,1.40,1565.0,1417.56,6065.00,1.0230,289.647640,43.579182
CANDIDATE,24.575252400,2.25800,1.0034e+03,1.64,316.0,2.35,3678.00,0.5120,287.948610,42.156139
CONFIRMED,15.140891600,4.35900,4.7680e+02,1.93,714.0,61.42,5926.00,0.8870,288.766970,46.394421
CONFIRMED,11.391695310,5.00000,5.1000e+01,1.02,886.0,145.67,5557.00,1.2490,289.394740,41.782349
CANDIDATE,10.174703700,5.17900,5.2400e+01,1.04,985.0,222.53,5866.00,1.3390,285.875790,41.332432
CONFIRMED,2.443585430,1.85200,5.9100e+01,0.67,1249.0,574.37,5561.00,0.8730,284.459470,40.142559
FALSE POSITIVE,1.759269100,2.38100,1.4040e+02,1.21,1519.0,1254.94,5784.00,0.9840,295.231510,44.112900
CONFIRMED,2.226496196,1.70730,1.8391e+03,2.10,697.0,55.76,3640.00,0.5030,294.528590,46.640968
CONFIRMED,5.720845990,2.74400,1.3160e+03,1.78,509.0,15.84,3640.00,0.5030,294.528590,46.640968
CONFIRMED,0.962864171,1.68020,3.0350e+02,1.52,1666.0,1828.67,5704.00,0.8040,293.204530,45.435398
CONFIRMED,16.238477330,3.96990,6.4670e+02,2.76,711.0,60.35,5683.00,0.9930,297.069610,40.525131
CONFIRMED,6.460047280,1.97900,3.9420e+02,1.80,883.0,144.06,5704.00,0.8040,293.204530,45.435398
CONFIRMED,4.768310330,3.23630,2.5180e+02,1.78,1219.0,522.81,6237.00,1.1160,287.086300,46.945808
CONFIRMED,44.616751000,7.83100,2.3970e+02,2.31,693.0,54.56,6763.00,1.4240,292.477970,46.022831
FALSE POSITIVE,1.714410345,3.33600,5.0400e+01,1.84,2551.0,10025.53,6340.00,2.4980,291.685730,39.428860
CONFIRMED,3.401656170,1.96170,1.5590e+02,1.34,1236.0,552.42,6177.00,0.9060,291.841310,45.179180
CONFIRMED,14.009486310,3.39900,1.6990e+02,0.98,617.0,34.32,5153.00,0.7670,299.659610,40.843849
FALSE POSITIVE,1.703359172,1.91400,5.7600e+01,0.69,1525.0,1284.58,6026.00,0.9040,293.078060,38.359081
FALSE POSITIVE,3.778816640,5.81900,4.7100e+01,3.99,2580.0,10473.57,6115.00,5.5440,292.237820,39.005070
CONFIRMED,1.311558909,1.91900,1.4130e+02,1.15,1655.0,1776.99,5926.00,0.9630,288.886630,44.839550
CONFIRMED,1.291233083,1.85500,6.6000e+01,0.89,1887.0,2993.70,6384.00,1.0860,285.752040,39.249210
CONFIRMED,10.573751447,1.72590,2.9890e+02,2.07,844.0,120.25,5720.00,1.0800,287.478520,38.228840
CONFIRMED,3.784750700,2.92400,3.3500e+01,0.70,1311.0,699.15,6017.00,1.2060,292.337550,47.664200
CANDIDATE,2.172910550,2.13900,7.6400e+01,0.93,1507.0,1220.49,6164.00,1.0450,294.863190,40.007511
CONFIRMED,18.220602400,5.10900,2.0180e+02,1.78,786.0,90.43,5951.00,1.2620,294.336460,44.918289
CANDIDATE,7.351012870,2.75700,1.1590e+02,1.42,1064.0,303.08,5951.00,1.2620,294.336460,44.918289
CONFIRMED,47.449713400,10.67500,2.0640e+02,1.61,551.0,21.82,6007.00,1.1260,299.675870,47.075840
CONFIRMED,0.929906166,1.74300,1.0870e+02,1.48,2291.0,6514.57,6039.00,1.4130,292.872280,46.098881
FALSE POSITIVE,0.784513087,1.92060,3.1660e+02,131.40,10634.0,3036857.56,3853.00,78.8690,299.556340,40.460297
CONFIRMED,4.115855140,1.48580,4.2580e+02,1.93,895.0,151.55,4827.00,0.8230,291.184970,40.311211
CANDIDATE,6.571594350,3.10440,6.5700e+01,1.26,1211.0,507.81,6042.00,1.4320,295.439670,44.039162
CONFIRMED,33.878639000,6.19400,7.0010e+02,3.52,564.0,24.00,5533.00,1.0720,285.017210,42.085381
CONFIRMED,27.572214400,5.25600,2.9630e+02,1.94,636.0,38.62,5912.00,1.0900,292.087460,49.788761
CONFIRMED,2.128216210,3.14600,2.5900e+01,0.70,1668.0,1831.55,5952.00,1.3770,286.338350,48.744099
FALSE POSITIVE,0.703399912,0.82300,5.3140e+02,2.15,2013.0,3879.31,5955.00,0.9100,284.444700,40.693508
FALSE POSITIVE,2.535502300,7.18900,3.5460e+02,2.70,1477.0,1127.68,6268.00,1.1000,298.853610,40.131088
CANDIDATE,0.868122253,1.54710,2.3130e+02,1.65,2047.0,4163.14,6116.00,1.0840,293.683560,47.833141
FALSE POSITIVE,1.332560553,3.31500,3.1700e+01,0.40,1249.0,574.99,4947.00,0.7140,295.150510,46.772305
FALSE POSITIVE,18.936061000,22.27000,2.4300e+01,0.34,516.0,16.70,4947.00,0.7140,295.150510,46.772305
CONFIRMED,10.652750540,2.68400,7.4070e+02,2.20,737.0,69.81,5602.00,0.8170,291.349980,45.172272
CONFIRMED,3.300408180,4.46200,9.8800e+01,1.43,1543.0,1341.90,6333.00,1.4380,296.293550,43.403271
FALSE POSITIVE,5.629509020,6.54200,2.9750e+02,2.11,979.0,216.41,5822.00,0.8980,298.039310,39.901939
CANDIDATE,13.843012280,4.07700,5.6780e+02,1.98,699.0,56.45,5745.00,0.8370,296.264560,39.405960
CONFIRMED,24.275899200,4.59000,7.0220e+02,2.25,580.0,26.68,5745.00,0.8370,296.264560,39.405960
CONFIRMED,54.409961200,9.31400,1.9300e+02,1.56,513.0,16.35,5746.00,1.1330,294.831020,46.659592
FALSE POSITIVE,9.122093360,4.34700,9.0680e+02,28.17,863.0,131.35,5899.00,0.9600,293.078340,42.277039
CONFIRMED,19.947527410,1.75600,8.6130e+02,2.52,625.0,36.14,5749.00,0.8640,288.955510,44.705700
CONFIRMED,13.849845670,7.27830,8.4600e+01,1.45,977.0,214.98,5919.00,1.5850,291.250180,49.231834
CONFIRMED,6.124797730,3.46600,1.2930e+02,1.51,1140.0,399.43,6052.00,1.2020,288.370240,43.354610
CONFIRMED,11.242848150,4.24100,1.3600e+02,1.44,931.0,177.70,6052.00,1.2020,288.370240,43.354610
CONFIRMED,4.028770970,3.17300,1.0040e+02,1.21,1311.0,699.45,6052.00,1.2020,288.370240,43.354610
CONFIRMED,8.921143180,3.93300,1.1080e+02,1.27,1006.0,241.79,6052.00,1.2020,288.370240,43.354610
CONFIRMED,7.812858620,4.09800,1.1730e+02,1.68,1196.0,483.06,6237.00,1.5430,288.100860,50.033718
CONFIRMED,18.011649740,6.73670,1.0780e+02,1.83,900.0,155.37,6477.00,1.4590,287.345730,43.378391
CONFIRMED,0.916142298,1.15550,9.8500e+01,0.60,1212.0,507.47,4374.00,0.6140,293.608730,42.197681
FALSE POSITIVE,0.597933473,1.91800,1.0600e+02,1.24,2564.0,10196.42,6543.00,1.1590,299.078830,40.832291
FALSE POSITIVE,2.696364940,3.89200,1.0900e+02,1.24,1406.0,925.14,5653.00,1.1390,283.737060,47.797131
CONFIRMED,6.992050210,5.03700,3.3400e+01,1.06,1194.0,479.87,6057.00,1.4670,299.160490,41.143730
CONFIRMED,12.099906500,3.55800,1.6550e+02,1.39,807.0,100.37,5553.00,1.0980,290.201630,48.185822
CONFIRMED,5.363750160,2.94000,1.1430e+02,1.15,1059.0,296.73,5553.00,1.0980,290.201630,48.185822
